"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"tr|A0A140ND71|A0A140ND71_ECOBD",34970.705810474,24767.8225023853,25202.5911607198,44790.1710400978,40678.8984657449,29385.1573149889,38419.2971313811,26468.2729055338,27555.4078268863,31568.9326802137,28456.1706341082,30668.1698729918,26899.5654947475,15892.8504611212,27240.505708188,15009.0878593309,40061.7993378242,18056.464374903,20101.2710640703,44444.9817565703
"tr|A0A140ND72|A0A140ND72_ECOBD",103405818.542159,100972541.196446,101984167.507404,103541093.759517,85935383.6827036,85004869.9574528,82119479.472322,82081891.8709907,82513361.6735402,81941670.0817821,82522975.9913527,81932055.7639696,66304771.2672463,70918769.419639,72090614.7466576,71722388.1272269,66968018.4361563,66678335.6737246,70084020.4647198,67194820.084823
"tr|A0A140ND74|A0A140ND74_ECOBD",362505.772271881,273787.558807655,270016.428998972,338688.761553279,341551.645539208,338052.795388382,405058.989803986,322101.982666386,328677.485724014,349584.73165507,336669.573842764,341592.643536321,481824.863793848,339556.176324617,382343.443000766,338037.249575528,401512.624674226,331883.805698994,309207.281796286,328808.469576929
"tr|A0A140ND77|A0A140ND77_ECOBD",4115328.08515183,3926822.34070499,3872417.4068725,4030249.32058924,4276216.78607009,4410600.559642,4327460.84500156,4620944.46510617,4107991.55250517,4262027.21636521,4107181.99748474,4262836.77138564,3833142.88306425,4203899.40932564,4220536.17253427,4203819.99430865,3855294.44560535,3844300.35130117,4187714.78908296,3729253.68664408
"tr|A0A140ND79|A0A140ND79_ECOBD",423821.254989153,448751.060672591,418348.117802522,431343.818964733,425555.019957099,430555.70407859,463006.475509127,428596.788831083,379905.05139222,401401.398930636,394809.388225921,386497.062096935,300490.447181181,374186.597440948,353690.674216818,367784.651418438,310291.400782394,342830.349867627,368899.535829918,305589.856625843
"tr|A0A140ND82|A0A140ND82_ECOBD",448634.260937564,532914.524944491,694302.303103501,786283.544943619,404058.421574696,453210.561398457,460971.185225326,404256.233799886,416759.365754667,434618.733897621,413883.604859154,437494.494793134,244002.226693146,329408.560456188,301533.497466844,286304.219277301,272728.074861859,321109.389137103,301881.747051925,237364.778938216
"tr|A0A140ND84|A0A140ND84_ECOBD",355385.603983732,373019.876201846,424990.311435861,329251.771096647,379450.510719552,352217.361390936,381930.087066741,368020.979843618,322812.144962175,309594.304947361,305414.330180783,326992.119728753,235423.363601171,256816.692219637,227016.273752611,241391.38475751,242692.844423689,252322.146794515,291784.721060063,214799.924872088
"tr|A0A140ND85|A0A140ND85_ECOBD",758792.986856931,834850.88945796,840222.12817459,866472.489580984,932959.768729361,897295.157890153,932767.625464021,900928.279969653,689827.124217216,724437.424436315,702128.561815004,712135.986838527,430070.181461259,512573.450959547,496571.172888111,462292.952914258,534476.499463835,565709.742766547,585542.919779621,503537.358736297
"tr|A0A140ND87|A0A140ND87_ECOBD",44470.3744088416,26000.8161181004,31591.7658348356,44764.5952738284,62175.8350026678,53754.6191949499,52666.1888887686,37873.8391053396,37178.4650821857,35520.7799192892,36686.8848253082,36012.3601761667,49990.478470946,27582.7938592718,47671.4001708856,30073.9541871149,31173.0942201084,30074.4042424662,29628.115153567,34518.8545727008
"tr|A0A140ND88|A0A140ND88_ECOBD",7090496.03195168,6904024.19307363,6380271.23185234,6990364.83563664,6919285.83825169,6483841.9830385,6954131.10207882,6699861.05611817,6089801.18327593,6306378.82105399,6064835.08770355,6331344.91662638,5206222.38542139,5651141.99692025,5856804.19333748,5716912.08998909,5367471.34881028,5406478.96139834,5440522.6104802,5280072.90842575
"tr|A0A140ND98|A0A140ND98_ECOBD",66664478.6722987,67237463.9029073,62938314.2403975,65023715.7331436,69749277.6412248,70249038.7431761,73282457.9351752,72793651.5071364,67113305.1461048,67848262.9662722,66989192.6644142,67972375.4479629,69143102.312738,70679063.9715787,71488814.9696558,72099573.4065344,61006838.0279408,62407407.0652439,60424079.4594467,58384192.1979339
"tr|A0A140NDA1|A0A140NDA1_ECOBD",281401.737206735,253340.787081815,287800.195192413,317207.800871347,217226.587861713,213819.026783762,226844.501398004,225109.880519729,208092.846980581,217448.035462085,224913.851293337,200627.031149329,164766.372219154,165546.856493555,194255.546528009,162615.014274205,186779.158021721,154799.507595829,161418.20961882,175426.79070948
"tr|A0A140NDA3|A0A140NDA3_ECOBD",431648.28990913,419821.522640087,371478.301224773,392921.54295261,325605.546071392,284911.887943363,298038.363074878,293057.943724507,246868.659857646,275600.010325945,245289.068547426,277179.601636165,120217.98083124,158115.1957712,128617.32163657,145928.523140201,153556.778711419,195042.358798138,178415.762559592,136544.301213835
"tr|A0A140NDA6|A0A140NDA6_ECOBD",25790964.4133995,26403918.5339452,22903080.8639372,23243251.7718912,24754047.9362162,25134113.2836747,25423995.3874312,26953377.3810807,23063730.0861919,23804151.6054108,23113825.7920901,23754055.8995126,21229137.7111488,22001545.2444361,22615714.090822,22465610.3236862,20626754.5459674,20859157.3940421,20971843.5734516,20326965.2660211
"tr|A0A140NDA8|A0A140NDA8_ECOBD",807703.434273756,818597.78219055,726401.268683417,730596.117374376,1100541.53080368,985125.581444803,923785.40089445,920092.573570549,854049.481451501,874890.177233499,864399.004633658,864540.654051342,844921.14245401,939668.894515585,901573.282939525,895897.960995692,835200.624421834,925168.823778784,854099.269584777,841684.850181309
"tr|A0A140NDA9|A0A140NDA9_ECOBD",416830.961166013,311432.17233527,360619.182943216,436325.741090453,342284.526239342,330641.510882178,386949.296342461,361895.369099597,344132.080158166,335228.996905522,339747.761179653,339613.315884036,490243.522115005,264670.15292341,238698.66339516,253936.874468623,321195.134683247,275737.613145621,285656.948363932,215988.437964214
"tr|A0A140NDB1|A0A140NDB1_ECOBD",39636764.6891899,46022895.0432801,53870418.1037189,56149954.2575859,38342149.8350744,43103718.9228945,47942293.1123637,47601067.4049935,39023700.4048031,39618753.3513576,39326858.6879072,39315595.0682534,26164593.4914316,33814455.1593206,33284277.9418508,33741953.9699453,27900269.8525983,31710586.9008213,31280377.4779281,28582474.9622294
"tr|A0A140NDB2|A0A140NDB2_ECOBD",4309075.57721387,4681421.50189467,4146267.96715592,3912050.23440068,4075286.100132,4159673.30977314,3480463.5629595,3398954.33781302,3189648.18731786,3284530.68406253,3245294.26581645,3228884.60556394,1460542.05878936,2356588.2492463,1981492.14531462,2151686.9580901,2555681.41742653,2691814.54169988,2963615.24673808,2696457.21922904
"tr|A0A140NDB6|A0A140NDB6_ECOBD",62695922.7383561,57533845.4314829,53388609.8790622,52146355.4058513,62889002.5440822,59966468.2406904,56731437.2758589,56632219.0898188,59087404.5307487,58110989.2122344,58083352.1186798,59115041.6243033,67515521.7002168,58477291.0933968,56820006.019368,55347141.8774309,61598006.8109224,58843606.5442116,60750409.8073577,59458704.5598603
"tr|A0A140NDB7|A0A140NDB7_ECOBD",2089308.11823641,1922710.25065772,1856644.32678744,2060502.6542121,1952569.10203233,1815933.45003669,2007622.10484493,1829923.45197322,1797354.29435398,1825664.90378924,1798930.40723478,1824088.79090844,1504181.71739673,1581404.86412785,1764660.03326782,1780308.56429575,1731248.4585581,1612504.44428212,1627054.20217935,1736956.47674031
"tr|A0A140NDB8|A0A140NDB8_ECOBD",821300.170028111,855020.976609368,830818.446097355,899230.888807941,858434.785783661,866524.64189202,852524.393913224,822111.809054976,758849.569457273,766808.159682078,757650.160397191,768007.56874216,616192.810523421,774935.956104704,658425.979046397,756367.071457951,625672.243508823,708228.188461167,658043.877431638,619049.220832587
"tr|A0A140NDC1|A0A140NDC1_ECOBD",4029358.98036491,4386041.57180361,4304658.07973828,4365082.05227814,4330192.30834396,4213470.86707201,4039369.17642365,3873824.240042,3213310.37440524,3210624.19701939,3268117.58664056,3155816.98478407,1194802.75621595,1901432.07479328,1580349.80676279,1763141.26753985,2050186.96426822,2308975.43917088,2500764.03874093,1980887.21356801
