"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"CONT_011|gi|136425|sp|P00760|TRYP_BOVIN (+1)",3835026.73067097,3911514.13535647,3874019.45256983,3901737.38762711,3731195.62881501,4510383.99796833,4588256.88670952,4236522.58659043,3903935.2119666,4219424.00283282,4161022.56233379,3962336.65246562,3784375.77676736,3831416.47368344,4690894.04447979,4209485.68356069,3869808.03783959,3996445.08828255,4224318.78133686,5063389.69364787
"CONT_068|gi|1082558|pir||S41161 (+1)",6199578.69580997,7066370.3324887,6312816.50946859,6931707.27881933,5935730.74755297,6074941.87832109,6754497.58934379,12181008.5768655,6828323.56264354,7111973.74601263,6827599.67031057,7112697.63834559,4896269.12571075,7263272.59500875,6779416.86190126,6442306.80121137,4001431.57595542,8255272.09871999,8388302.12462725,8690283.39783967
"CONT_072|gi|547754|sp|P35908|K22E_HUMAN (+1)",1580745.01911427,1583974.00148529,1860664.85669452,2163202.91816704,1613268.1467281,1448618.88000803,1885270.97577073,1723223.12453697,1812906.25605437,1890110.36014678,1868784.35016007,1834232.26604108,875219.829563477,2208721.47946293,1820112.16595006,1493081.84174301,1374696.13840744,2530308.22894774,2459851.86272241,2744858.39910242
"CONT_089|gi|71536|pir||KRHU2",1920025.15195483,2443472.49818301,2154789.78548338,2331451.85370744,2301822.45262237,2177362.17141852,2417178.08690859,4277901.50362845,2414568.1071154,2412336.60265567,2422728.08509495,2404176.62467612,1593815.65592499,2433836.48452995,2269749.50545137,2144562.71259258,1557319.78197287,2699824.77423343,3269226.19489178,3409168.47338214
"CONT_092|gi|71528|pir||KRHU0 (+2)",3971353.75384918,4113378.26065328,4550996.90997685,5087601.17013393,4503818.8550211,4189010.80809347,4710196.68717866,5307275.68934752,4811107.53982834,4984255.97202657,4856245.7573008,4939117.75455411,2985350.85477053,5574157.14968209,5115361.67834049,4021952.57457438,4122463.49941688,6309218.73598292,6940189.15935363,6734395.74585551
"EXTRA_0117 (+1)",14402805.0415581,19767807.9284497,17774042.3551058,13235464.4534486,10611703.858696,14416761.861038,15983709.723442,12907020.7583761,36801697.5329339,36043200.0295246,35947343.1372684,36897554.4251902,12717120.1056827,11921827.9070789,16373762.4546151,12480028.6327023,122807503.378326,124454701.285615,100714828.641082,110005677.837323
"EXTRA_0118",435486264.438532,457580826.221434,454859831.43199,416503717.818169,348912339.352455,417403606.676146,397585515.332011,370764616.968971,835686161.784805,862030543.024927,852348939.708642,845367765.101089,1743953693.01792,1499184447.00772,1547220396.81424,1508127175.87931,1096038384.22115,1057115657.59164,1002264533.14441,1096692404.53663
"EXTRA_0119",153984728.810085,200124046.266265,198001768.200269,159644540.689116,108038155.335777,249508499.527811,197428099.369719,183678615.8437,835963838.944129,861833786.195475,856577867.387347,841219757.752257,2061338410.98322,1934649115.28159,1918382540.52356,1835831253.82617,1232946978.77641,1280982018.97673,1098688578.95971,1286727120.40029
"EXTRA_0121",15009009.6834983,17620702.0320335,16915465.6508896,14696382.1871576,12072992.6769943,14552919.2305683,16149689.0724669,12520219.5085093,31339997.3335946,30540994.8636403,30516103.8943478,31364888.302887,11663470.232694,11779024.6810454,15106249.2972268,12370091.4869782,89142624.3999022,99356649.7884974,82526629.6650889,88802544.2947993
"EXTRA_0125",33321858.7176043,36133961.334429,37049958.0967722,31254035.4256627,53720090.0925977,54072400.5529046,57307860.9621751,51680184.1777943,67143296.4821703,63132909.083626,64909300.1907678,65366905.3750285,31398489.6141245,33395903.2079006,35102982.1426107,31003592.4820339,143313611.965397,143478586.960798,148964368.132906,175745372.376215
"EXTRA_0126",338913402.770281,354925298.108624,333689407.592642,297344041.664434,283906614.237462,299023583.988677,320932309.188001,273996988.748708,524526398.360734,509085686.165592,512683824.926861,520928259.599465,335895287.742436,305629733.535858,345375003.708515,319592394.455392,1186010819.54785,1172563682.47132,1204765086.43337,1306042422.40423
"EXTRA_0127",11812506.3046731,15969959.2592178,16729707.9390791,11040513.405293,6982511.4395288,9721190.26979087,15830583.6417505,7602715.77398677,49000212.9253714,46606881.8589741,46668351.0680552,48938743.7162903,5540838.22113147,4592909.52305398,12926719.523448,8570688.12671477,147878412.228575,188866566.145391,172807554.838168,182603010.959842
"EXTRA_0130",17388020.790976,2764923.11927242,7047539.37590325,28359673.6239113,843721804.008199,958158292.418556,901739436.108276,983534087.978228,246545007.576491,214715147.297077,221726341.020734,239533813.852835,13223303.7518135,80312015.0960057,52192234.0083709,54160298.5019184,56544312.7250466,2922272.15167897,30428249.2950928,5785598.59667168
"REV_A0A140N4K3",3474390.28927279,2602177.73740382,2991634.36685662,3258183.75576074,3136227.03335503,3245714.01540853,2889590.71434149,3347875.54792958,2596077.06182018,2367581.91604986,2575243.02566368,2388415.95220636,2447799.11930071,1892896.09134691,2096822.62336747,1734733.22637273,2206525.73780436,1549540.68780075,1843684.24358191,1770252.13320951
"REV_A0A140N4S5",30673.0472680275,56184.6713689102,78085.3647561164,90865.0549521981,120167.713055236,182538.294499632,247492.766339222,129700.808964044,77477.8171976304,62491.369126001,69874.2433908526,70094.9429327788,50043.8734991069,108248.474043141,80426.7422984616,68838.2726954488,85492.6359242839,52621.0995776388,54550.776438465,90839.2092209428
"REV_A0A140N6X1",186569.481287339,246214.292175642,226556.520140778,146488.316469122,75336.0158543862,106625.458232701,216533.715699031,41722.0829660481,743370.596447891,726755.06446458,742040.874152694,728084.786759778,109790.471388219,30694.0798904175,160491.418787661,97785.4251972165,3231247.80588228,3196841.58843728,2451908.63602086,2911972.30732295
"REV_A0A140N7F8",271225.128458014,389667.289516521,339715.889858441,373469.585146925,216656.405968418,305790.689021626,357932.903682694,310575.451899033,614352.866382816,664375.600974553,639694.285089277,639034.182268093,802978.969823223,1289550.67865587,1206179.35080339,1267566.74985802,685262.301231855,993644.620224028,734851.324010845,812713.619295621
"REV_A0A140N818",58045.3064641708,36216.4839928904,31115.9807325071,59435.3883886876,83483.5794268946,52162.0548901809,89457.2321902415,40952.0245598306,66777.5302971275,61136.4043042567,36376.0362257567,91537.8983756275,44068.3954748729,80287.0236043928,54111.2245516587,77401.2682799244,41151.1007352094,60610.502564754,65379.611058635,39341.7876305729
"REV_A0A140N8F7",39303.3525843604,35441.15680268,37957.618106474,40028.8549376053,39410.0235548043,33767.5891016957,46101.0728912006,39587.3335133239,41895.7786660997,41957.2427276245,38505.8213174303,45347.200076294,47774.4399775694,52872.6159926158,47671.6395698256,42679.3467935953,35723.7222538282,50046.1122169058,42812.6472499945,38378.112054271
"REV_A0A140NAC6",1281570.25390166,1446744.55013611,1272758.85264577,1070285.21828279,1294842.10486974,1155719.58227032,1136961.9243268,1253051.65749082,1304083.97746329,1217961.13637522,1412370.33217921,1109674.78165931,1330213.49706877,1095100.91093057,1457901.76113441,1442762.02458848,1523245.69582229,1198102.41761556,1058975.32750125,1358976.49213386
"REV_A0A140NB10",366115.39387589,303192.335250232,272502.050159556,379319.654712766,364314.471350394,314380.523577184,367106.386452995,300222.610885451,338378.443876216,331177.295110019,329570.517698383,339985.221287852,378453.561509169,283305.890481328,382472.857644515,298881.059175139,350019.062665042,265875.283223531,288605.197004171,332449.400838854
"REV_A0A140NCH0",69834.1334599555,43736.1488511143,65648.1238198073,76361.8576940668,57837.1005796803,105201.760355821,62837.0588331526,63550.6254745915,51685.1830394211,59212.702370813,62132.9150583701,48764.970351864,71452.8693802685,51000.4433139256,68757.5470334979,48668.8667511693,45821.6784820445,46792.5136487563,48608.6174870954,53322.385643295
"REV_A0A140NDA1",490253.886795761,423959.377071681,419467.700575902,449167.538860696,489714.101840439,484215.570475045,482132.416824516,450353.519093408,532250.731398443,486431.922049028,521128.13847637,497554.514971102,615678.396996216,535288.981473179,549478.305656155,582844.163499028,528186.262560573,541404.368876672,514558.606670811,503964.153955817
"REV_A0A140NDA2",30636.2664233538,32347.1991547498,25194.810345731,26278.076339549,31491.7022337033,28659.5068920996,28681.2360589547,25706.879919772,27868.3041964391,33785.7298489795,29689.2802291834,31964.7538162352,62946.6990978263,30672.5372567806,32682.4663839755,32858.3050424334,34098.7632438829,36838.8981744866,31138.6931192344,25170.3260601966
"REV_A0A140NDB0",82109.1985451584,78009.9904259623,71769.864979398,69457.1120867432,99930.8478486784,92276.4022233,83300.364494259,90254.3950637865,78553.7888360035,83844.1504782074,77247.9193503601,85150.0199638508,85025.454879984,77473.9336325615,80884.9415224194,86576.6390144659,73274.8644505048,78095.0141017767,75651.1637604697,89030.1785138543
"REV_CONT_050 (+1)",1012952.9109855,1035291.56605493,940398.96835062,1121610.32997136,1152749.69071299,1278170.24040828,1053632.43090543,1253550.83921615,1174839.16574869,1171178.02592556,1147625.9831797,1198391.20849456,1207577.12715875,1361295.65707586,1178112.9605169,1394527.32229065,1108450.27319564,1381000.32105033,1181321.6110105,1075273.09401529
"REV_CONT_118 (+2)",308975.467900227,318731.555670437,295775.629411931,327605.934169946,288481.242791811,264026.710272683,309570.932676815,269313.770397913,294502.92947898,297182.032251686,299913.297036573,291771.664694093,265001.801564528,332472.747932907,280083.120593934,287891.051408097,246550.625874463,264093.189929902,266136.290754365,245812.675757502
"REV_EXTRA_0039",1125011.85454833,823457.985067275,1018658.98587023,1014752.85272607,465045.030727873,326994.509774849,414059.829531433,424863.594854159,438626.848406524,509688.770112141,502386.017789609,445929.600729056,272157.704133592,262522.531051819,243001.828814104,292149.424749716,242335.613342106,213428.362258516,254740.087244922,218799.641987384
"sp|A0A140N5J7|KDSC_ECOBD",1276041.72590828,1071795.17507968,1090037.92723539,1168446.03798718,1212980.76193759,1218463.63710278,1367866.7310816,1355428.28974649,1205337.17381074,1267572.45621269,1218381.3280181,1254528.30200532,1243469.10789266,1230329.13295136,1081137.64596427,1412592.53606581,1112092.07040158,988023.519752952,1139462.54691981,1028312.54184214
"sp|A0A140NDS5|YAFV_ECOBD",64559.4257350027,60161.4121181446,57171.22754282,71090.5106628367,71272.3172389461,70103.2662092854,82204.2791436119,71724.1061604611,63451.1022634286,55366.9795282689,61213.2470582478,57604.8347334497,56737.281098174,48598.9735869436,50208.9548193132,45647.8472733545,50973.7566359033,48965.8321348294,48166.4771360818,49966.5317775059
"sp|C5W331|RSMH_ECOBD",1418054.09332057,1450112.22165328,1400787.7505446,1363609.20771035,1603419.71165807,1528083.92135234,1428903.74326174,1542182.85098984,1338861.31442103,1449656.39097212,1364643.76538661,1423873.94000654,1198714.36882391,1390367.89337918,1390655.47246248,1423339.13238708,1206199.98717597,1259512.20226873,1377773.95434957,1210740.43861071
"sp|C5W716|NUOK_ECOBD",82522.867232708,84958.1387474389,84391.4129933847,104263.382759292,69160.234907377,92705.5187726708,81437.1012390469,88760.1625338175,79936.6508010427,85289.2936716075,82050.8975147827,83175.0469578676,70033.2130983448,104894.190792675,62502.9236602388,101144.676991913,64972.8968436657,73259.6224517479,84504.0180587398,60768.5200647969
"sp|C5W7S9|TRMN6_ECOBD",63979.7377349141,45516.150187244,44907.9425794264,53331.029698073,79237.6702141897,75208.1047392221,65617.9730709154,59858.5929572566,54926.9575691285,60728.6518473429,63582.9380548468,52072.6713616246,50448.3868251683,41015.3908788563,58874.0795227428,40625.755345208,48959.7125812374,38917.6924281407,56926.2711806966,54471.348720615
"sp|C5W865|CYSI_ECOBD",34518889.0374867,31114662.605958,28786710.1513214,28999692.2078369,29360988.5767195,27834793.5089577,27960348.8056916,28124668.6460357,23372675.9462842,23254629.0517568,23246073.8361681,23381231.161873,17013130.650152,17295113.7599227,16411813.3755186,16610298.6230092,15389198.0761099,14834927.8571237,16613815.564531,14382230.6025929
"sp|C5W8B2|RLMM_ECOBD",1188987.03604116,1231261.31316311,1211913.71110423,1191781.48251973,1104705.92959017,1196389.84842801,1148009.73792854,1226127.75428905,1208381.63059042,1174701.81467995,1216600.379137,1166483.06613337,1036569.0573018,1163236.0370292,1154578.76891686,1234690.74938053,1125182.32265684,1135947.49002708,1120852.46227704,1131341.7365403
"sp|C5WBK5|TRMA_ECOBD",2759432.23872654,2726427.22727999,2359605.25154498,2490602.07755401,2768334.50571673,3115110.51434018,3096902.85755865,2900517.49379105,2624083.26289365,2686309.27702492,2587336.45293192,2723056.08698665,2658505.30140136,2895692.08096392,2986262.81914434,2794726.3692896,2307742.99175346,2657463.84668316,2564073.64549331,2390251.47765413
"sp|C6ECL5|SPY_ECOBD",601278.526713488,584698.130138603,800475.87325044,685440.459721652,827139.973559847,846230.816399696,815858.381182857,910227.496776395,608309.649096357,595508.705839211,609698.966669998,594119.388265571,438720.94434199,514962.40649411,423593.875788868,533596.95029665,434254.994813407,428119.870145651,452794.609531383,348263.267097789
"sp|C6EH62|NLPI_ECOBD",310784.579440861,430968.076171037,404686.067835048,350635.970087071,394858.494418129,489982.395189015,411417.495798164,443151.664621339,408583.856074042,416228.766270125,405102.387810862,419710.234533305,387614.456163716,366197.870969697,409743.957545431,374266.171864295,358083.135261033,800587.772771661,606420.908840199,367325.328691061
"tr|A0A140N1P7|A0A140N1P7_ECOBD",7087500.3943711,6481951.80022811,5849582.33082953,6134179.79707414,5862839.71662166,5519152.60102794,6028702.59515041,5690350.1108015,5853362.71926528,5881880.08204985,5751899.45212978,5983343.34918536,5013136.21531398,5077546.8604593,4950898.94538823,5250552.87707112,6446145.77799566,5811338.56263594,5844682.46564424,6230603.44504746
"tr|A0A140N1Q5|A0A140N1Q5_ECOBD",7769394.40217257,6467761.25725405,3496196.36935159,3569321.05788377,13378795.8870187,11261582.7600102,9724952.05804332,9685882.57977434,8036649.57048106,8202341.39944644,7894681.40171969,8344309.56820781,10583453.0462323,8438455.67273319,9604429.87573999,8545412.89551189,10456566.764473,7897857.03558967,5911393.92015506,5952896.81060718
"tr|A0A140N1Y4|A0A140N1Y4_ECOBD",12202780.9006433,14601989.6006868,14824563.0264815,13910629.1561946,9224482.50467418,10612755.1255286,12399424.6580954,11896810.1791849,10327817.950018,10528049.5292076,10275620.6784371,10580246.8007885,6176640.96146415,9783785.76885919,8195837.61991724,8891304.20241252,7136231.09578537,8697991.36067433,8625309.39334223,6897141.75663458
"tr|A0A140N1Z5|A0A140N1Z5_ECOBD",660472.181721538,604262.558680475,561949.565155228,572808.179263229,656412.320541551,559704.353610498,577925.905759879,566562.317535605,550950.443087881,568641.428283934,551612.614297622,567979.257074193,509091.325565851,503042.093131398,471782.448195125,518852.552801157,476154.599770028,497767.804818134,487471.178797649,477484.797446567
"tr|A0A140N201|A0A140N201_ECOBD",1964636.52704829,1815134.24385926,2246215.49196075,2464593.21580611,2227495.3504718,2512894.09391116,2256360.85797448,2512175.41598559,1865824.06199446,1853789.30692101,1825999.89092292,1893613.47799256,1323427.00600513,1541041.65215439,1349576.38202718,1483779.65677374,1337955.92416219,1357934.11957221,1354576.92083791,1098408.29146011
"tr|A0A140N210|A0A140N210_ECOBD",503940.93453076,531848.936967023,541210.224835049,484079.451654684,486479.333171631,480367.200224569,423734.3465681,470821.932873856,481865.782829421,524441.989348232,495166.445479318,511141.326698335,420583.862373955,546946.3221394,486095.932452472,545548.476812278,461839.700119952,517142.862854599,457611.644343258,434662.004889288
"tr|A0A140N231|A0A140N231_ECOBD",307526.017033674,299983.803531518,296176.331010284,311625.298290211,303701.364725529,310179.532873385,393400.223614768,311137.643807538,256200.011298335,273821.640783801,254263.724707991,275757.927374144,148314.505905076,233377.641762218,183239.90631114,220039.189544438,182534.225781072,390547.161461191,222512.073345698,169157.926674361
"tr|A0A140N258|A0A140N258_ECOBD",200580.933875689,191225.489501586,232461.163529305,266366.88218174,265791.796204513,239335.290554846,270780.162270267,244860.292090782,212782.231877208,216811.993153984,214013.0050354,215581.219995791,198164.665670559,186837.06086874,211728.46160084,201397.371214678,175222.656579909,166480.40955778,166088.208269996,172410.811001658
"tr|A0A140N277|A0A140N277_ECOBD",1267115.14001932,1511320.75825881,1640113.87277252,1825255.09527635,1143099.00424818,1204623.57688751,1296809.74583096,1294444.25041606,1042510.60111685,1010192.26302589,1050096.0061064,1002606.85803634,453870.567276098,743822.265418649,582776.806125012,702653.509090161,628476.596185946,696798.466975542,675246.167022386,524901.750611682
"tr|A0A140N2B1|A0A140N2B1_ECOBD",6112383.05248192,6608569.65637423,6085300.31801099,6530630.73385276,4869726.32925491,5299180.20624351,5637277.99286374,5833977.61660419,5276923.97922529,5698186.54322937,5489299.95688324,5485810.56557141,4053267.14911314,5070963.60425967,5241035.00628537,5158292.13555779,4492015.56057199,4866743.53850915,5064685.07189614,4746350.19145557
"tr|A0A140N2D6|A0A140N2D6_ECOBD",115554.66722536,66716.5396143723,67027.4600516098,90508.4000693454,182734.407048988,127724.043061981,122944.50607067,99978.6336482651,82079.9644041387,103638.570111453,95460.9073863446,90257.6271292476,132128.550034921,153096.872043534,75855.1122407037,125125.368881157,94557.8572484345,108648.302894891,157150.344654312,70054.8509017837
"tr|A0A140N2D9|A0A140N2D9_ECOBD",2419589.9317413,2574321.03806746,2416503.42677445,2370982.27398559,2599856.5280524,2638156.58219993,2513785.31721676,2433657.39898827,2021419.41830776,2241686.56955296,2094623.71130431,2168482.27655642,1294915.10779078,1542671.17988695,1525549.76104017,1523275.32263712,1802140.22932072,1951392.06088026,1887340.41729609,1724011.40443171
"tr|A0A140N2E4|A0A140N2E4_ECOBD",365258.812008319,378918.584276596,383825.600419843,374773.09103357,348083.114205356,371702.405466831,382821.821150814,393034.992213582,399213.605115983,426419.189756315,422503.535268752,403129.259603546,430307.190546284,429308.140077169,455829.237638848,485529.94885637,394078.879127413,467884.641413638,413712.231599455,350266.960723476
"tr|A0A140N2F9|A0A140N2F9_ECOBD",3018173.57216207,2903661.84052624,2791435.15499156,2787460.68412561,2650579.19742243,2491969.18355502,2793932.44054223,2661484.67906543,2424872.7887723,2501718.55600048,2439251.10312452,2487340.24164826,1775133.99735397,2090675.35990875,2097494.47854754,2266828.75588403,2474196.97405387,1815044.91168426,2093250.61576919,2272750.18715522
"tr|A0A140N2G7|A0A140N2G7_ECOBD",1907407.68913589,2118482.18560476,2468644.70273385,2385113.16099894,2327783.26661756,2530644.11635023,2647996.06369568,2775216.3137171,1750857.7718489,1699455.40711606,1724410.30786025,1725902.87110471,698663.427801937,1118753.54080062,1062911.84485354,1050040.14594332,947639.318292071,1000620.40667835,1091449.3031202,866688.22229112
"tr|A0A140N2H0|A0A140N2H0_ECOBD",377455.130262709,356996.16648592,425517.690324766,476718.839389625,471254.969925565,502159.14415749,500190.589113638,548130.938024276,445129.983602298,438605.974273533,394433.475763297,489302.482112533,372909.821634335,342958.125599588,413295.751550244,442854.17705666,424633.673140127,491944.69905813,441601.636909709,366722.684587836
"tr|A0A140N2J1|A0A140N2J1_ECOBD",6046490.84472644,4776450.74198263,4739483.95810149,5259273.49514815,7766565.64598528,6976270.45032793,5699542.20434922,6519509.30818429,5249698.94504878,5155744.52718412,5216103.42874229,5189340.04349061,4984789.20739954,4622344.98214577,3867700.34578818,4515008.8602334,4726232.10578259,4139897.9358778,4457786.05295869,4179711.91196636
"tr|A0A140N2L2|A0A140N2L2_ECOBD",481208.544072246,412744.478142128,377512.231003237,421286.289992675,468857.737704628,467398.95680627,450722.653771262,447705.442499576,411969.450284751,450357.332899542,459796.816218946,402529.966965346,378201.884781157,389676.306636473,426130.951421138,386569.243478639,416494.043587456,413190.763643352,494047.121182684,360486.355503839
"tr|A0A140N2L7|A0A140N2L7_ECOBD",6680068.42761005,6217292.03749028,5891896.50115387,6127816.11914936,5414400.93486684,5176764.22051111,5605841.75797865,5382994.61547201,5548101.20835316,5671709.00848329,5550424.80999058,5669385.40684588,5855369.77518434,5041266.64145934,5307785.44906886,5544576.51624869,5069706.51982457,5245966.50774562,5050870.23593005,5080979.12602716
"tr|A0A140N2M6|A0A140N2M6_ECOBD",461312.309676108,481404.577161837,493654.751476572,464493.470443619,531564.229789674,534917.997611493,513315.051407483,502994.953517222,505400.87259626,508660.305521421,503115.267001894,510945.911115788,593297.882608214,514274.617891698,530205.963957884,504171.205785557,548740.390130545,439681.549134226,536341.656653875,465354.469138292
"tr|A0A140N2N4|A0A140N2N4_ECOBD",4497422.16191895,4497997.85946123,4098851.08413193,4450267.49817249,4077226.17521489,4397039.51905453,4238362.81655325,4287769.12365035,4146065.52355547,4175802.72589727,4120520.0257197,4201348.22373305,3760953.17528256,4188180.98723056,4010112.98651375,4170830.51672599,3717789.71681897,3957440.5478025,3896031.87314237,3762004.83934763
"tr|A0A140N2P2|A0A140N2P2_ECOBD",13312882.4640049,11630772.6136898,11147425.4148488,11063541.9080181,13567575.9617397,12378794.3634805,12193093.5035247,11459719.3183334,12145290.4885185,12601651.3314562,12293487.730347,12453454.0896277,13741658.2169147,12017574.8193865,12339369.8378258,12122549.7822475,14109041.3786043,11812656.0229165,12691353.6931785,12334544.0701825
"tr|A0A140N2S3|A0A140N2S3_ECOBD",48294911.4236476,46010610.0397038,42015088.3199213,41979465.1628358,51440134.7874178,49991884.5859578,48479714.7204089,48516821.2122073,49483454.1456257,51518342.9946312,50347932.8468465,50653864.2934103,57355587.7028765,56951024.9828917,57367888.3830068,56385840.1218016,51214433.3515568,50459887.0806485,51297536.5833807,51423663.787786
"tr|A0A140N2T1|A0A140N2T1_ECOBD",120338902.580537,101937537.189884,97963888.9591521,86631540.0842854,134678998.005734,115486087.616211,108667025.965661,110738034.032009,115506399.125376,116254964.790359,116251475.864239,115509888.051496,154466751.805988,117328845.357276,132864372.915138,123349830.228174,126102815.004119,103184502.822321,127035997.762496,124131275.545562
"tr|A0A140N2U0|A0A140N2U0_ECOBD",84620384.9514988,72658469.0519757,71266172.0325315,69986368.9921786,87193580.9272456,78443125.2557986,77245434.6681267,75402684.5903859,74102529.3322043,75629232.1583677,74875387.5809766,74856373.9095955,84320440.4227622,72007808.1345305,74081405.7181368,74075121.6593337,73513616.3463967,62919439.0632477,71654366.3185251,69322207.9623566
"tr|A0A140N2U8|A0A140N2U8_ECOBD",48921413.8298666,49715585.2779198,46229400.9304406,47477465.6813936,38257233.4531122,39563216.2808985,41057254.4403757,39589328.6600372,42263143.1845321,43756389.5546892,42601512.0651745,43418020.6740469,39326415.6403646,42164940.4389585,43678174.9527663,45140087.144639,37968503.0478745,41000671.3247821,40507213.2467133,39631790.3190121
"tr|A0A140N2V6|A0A140N2V6_ECOBD",761125.298755973,798816.711017966,899629.287606862,766739.662475558,659975.054569078,640003.317790584,729851.270025132,677153.445152666,590842.269363276,617273.0689218,610389.054419734,597726.283865342,402400.355045619,455164.882459883,449948.08816986,430446.695395436,449654.856010702,511345.976774457,497679.816876884,427865.391701548
"tr|A0A140N2X4|A0A140N2X4_ECOBD",740984.893735028,610308.468550985,594181.257253702,735291.702983614,783540.401144197,683513.613374413,547814.568071877,704132.82647397,659725.500695224,709137.760653763,678141.351957934,690721.909391054,683636.540721686,678876.921548921,472858.282079101,736499.386612943,720911.059790624,704422.060514579,698199.210411571,651073.132932975
"tr|A0A140N2Y3|A0A140N2Y3_ECOBD",484286.375493551,566828.57852438,495911.542942467,551440.168333023,565601.706928837,559091.934748676,571942.436892578,560637.028532372,515674.719796936,513582.767689702,509022.773725095,520234.713761543,358294.273147708,517006.857987839,474403.633941483,499480.933039653,459978.726820311,535203.180710732,513962.91033621,432847.347888533
"tr|A0A140N2Z9|A0A140N2Z9_ECOBD",31552897.7940333,41039470.1245158,34692787.9217564,33331789.299521,33822692.9251835,36854965.3778319,37704384.4616796,36440104.7467816,37489106.4025021,37916043.6537807,38421841.4872161,36983308.5690667,30825543.0362546,43918257.5967407,42347003.8203011,46734987.7050836,33753961.9106922,41897224.3862905,37334373.2374416,38631160.1215812
"tr|A0A140N307|A0A140N307_ECOBD",328976.758839764,351945.696505078,308644.908318665,322627.246955474,317346.732048558,332576.83029212,327347.079273577,329119.021898351,224433.595575858,239866.064625529,234557.270082779,229742.390118609,38556.4917531952,122823.478608066,79994.5201030464,106200.380478678,111793.860224022,154514.647767583,165447.425954097,108389.526740794
"tr|A0A140N312|A0A140N312_ECOBD",1887725.97512406,1430760.12003448,1508626.74871752,1742857.29132865,2244455.31572399,1621114.09398957,1621534.26945905,1702074.14006645,1308865.05740803,1311621.20865995,1257514.54750165,1362971.71856633,872482.241392077,912328.621434207,701440.472592767,940359.160949548,871766.374043489,851180.933865033,988512.948857279,776332.98779789
"tr|A0A140N319|A0A140N319_ECOBD",2336696.07905065,2395103.82361083,2385713.21032057,2370774.60922518,2246937.11634668,2190495.00779848,2148970.11980402,2154857.55905985,1806409.01408975,1863099.91284798,1872536.98392536,1796971.94301237,1293263.89518981,1373773.30884893,1359906.48973838,1312956.69543597,1417089.99166915,1353777.64955677,1454087.54007024,1358588.45639935
"tr|A0A140N332|A0A140N332_ECOBD",822184.927733456,852356.284583843,814346.06163465,852317.053345904,865443.505114954,954048.354677738,902335.51820075,895553.733489768,834211.390648986,801259.087284755,826808.119079694,808662.358854047,713925.876881055,790463.820076672,776840.209956519,750048.40478741,785529.520621053,726088.511923844,809652.941565255,789654.719209646
"tr|A0A140N339|A0A140N339_ECOBD",263257.20514603,281852.624181449,251330.727573235,295481.432321575,283546.03453515,268928.374368585,288134.976185163,272773.974484573,254630.287316183,281792.00539455,257540.114230549,278882.178480183,199687.593992999,245479.562036054,248425.720825098,245094.427046951,233133.307262143,258444.059363729,263658.265594844,239763.97657862
"tr|A0A140N340|A0A140N340_ECOBD",48661922.8474243,45776621.8708392,42539532.4262384,39936080.1224334,49401126.8948511,51330182.2193269,46371558.3928211,46952789.1150414,50990933.6838664,49100642.4908103,50731130.8950533,49360445.2796234,65424633.2462763,51770897.0708959,60388542.2525411,54391592.5040301,53701823.7539172,46753868.9007277,50412583.2066962,54665070.4556092
"tr|A0A140N347|A0A140N347_ECOBD",2873889.94605355,2748758.46733341,2925566.44975848,2979096.52808063,3158265.61891441,2659323.45649612,3434120.02468838,2782794.93901654,2954458.23572481,3112724.14815093,3007356.19498292,3059826.18889281,2778308.35274455,3199853.53224557,3164633.63702583,3170071.65616163,3431441.94800464,2872835.52013669,3441666.59631546,2946132.05044012
"tr|A0A140N377|A0A140N377_ECOBD",794570.325347633,404373.915576674,486352.304530612,654934.556614646,865131.062358773,635414.76816914,517931.147178991,631194.600021106,548914.12036858,604928.940006175,566885.35228195,586957.708092806,688967.250436791,472750.34674383,428543.26297888,490540.285967914,653304.209725006,403856.267869829,565282.753604412,478896.056901556
"tr|A0A140N385|A0A140N385_ECOBD",3444080.58431986,3683043.26463323,3481141.07703375,3425600.03341833,3565020.20713486,3546466.10911533,3230280.28165468,3483133.04326262,2853424.93397913,2807167.83241159,2854875.99528882,2805716.77110191,1985190.40454316,2269536.33588029,2164995.59149898,2117890.36851281,1985208.31103428,1777534.60670415,2002677.6099386,1880875.65457571
"tr|A0A140N388|A0A140N388_ECOBD",613888.137891444,582304.488671642,504026.140474626,548327.287171513,366648.119089749,325013.473033557,386913.424913635,380166.42609317,345991.362409948,342336.082115773,339788.276901937,348539.167623785,152339.152379941,187214.885530698,195275.862186608,192067.768244177,182008.751530531,210704.315986218,200191.982960034,145444.403806805
"tr|A0A140N394|A0A140N394_ECOBD",8878712.60939021,8504560.58940934,8539596.54370936,8940958.08886989,7708234.64258937,7027712.55736208,7609947.50896923,7501387.82823366,6069993.85564365,6327860.46972118,6258875.92326073,6138978.4021041,3168310.14080734,3772612.10553082,3568040.40554892,3666746.53664104,4596580.47683015,4934850.54915835,4855696.6420682,4101579.34545462
